description,artist,album,format,extra
"Cult of Erinyes ""Metempsychosis"" LP | Vinyl",Cult of Erinyes,Metempsychosis,Vinyl,
"Blood Magic ""Goetic Blood Spells"" CD | CD",Blood Magic,Goetic Blood Spells,CD,
"Church Bizzare ""Enigma of Hades"" 7"" | Vinyl",Church Bizzare,Enigma of Hades,Vinyl,
"Moonlight Sorcery ""Piercing Through the Frozen Eternity"" LP | Vinyl",Moonlight Sorcery,Piercing Through the Frozen Eternity,Vinyl,
"Goatpenis ""Blessed by War"" CD | CD",Goatpenis,Blessed by War,CD,
"Saiva ""Markerna Bortom"" LP | Vinyl",Saiva,Markerna Bortom,Vinyl,
"Contumacy ""Reverence of Putrefaction"" Double LP + Booklet | Vinyl",Contumacy,Reverence of Putrefaction,Vinyl,
"Temisto ""Temisto"" LP | Vinyl",Temisto,Temisto,Vinyl,
"Left in Ruins ""Sound of Defeat"" CD | CD",Left in Ruins,Sound of Defeat,CD,
"Pok Gai ""Pok Gai"" Demo | Cassette",Pok Gai,Pok Gai,Cassette,
"Wrang ""De Vaendrig"" MC | Cassette",Wrang,De Vaendrig,Cassette,
"Cimmerian Possession ""Sadistic Storm"" MC | Cassette",Cimmerian Possession,Sadistic Storm,Cassette,
"Ventilator ""Total Verhaltens Gestört"" LP | Vinyl",Ventilator,Total Verhaltens Gestört,Vinyl,
Gig Ticket: Blasphemy / Death Worship etc. 12/7/24 Mexico City | Cassette,,,,
"Iron Maiden ""The Book of Souls"" Black Vinyl 3xLP | Vinyl",Iron Maiden,The Book of Souls,Vinyl,
"Aima ""Tragos"" Gold Vinyl Test Press LP | Vinyl",Aima,Tragos,Vinyl,
"Nebelwerfer ""The Spirit of Violation"" CD | CD",Nebelwerfer,The Spirit of Violation,CD,
"Demonio ""Electric Voodoo of the Black Dawn"" CD | CD",Demonio,Electric Voodoo of the Black Dawn,CD,
"Iron Stream ""Endless Pain"" CD | CD",Iron Stream,Endless Pain,CD,
"Balmog ""Necroangels' Revelations"" CD | CD",Balmog,Necroangels' Revelations,CD,
"Fimbulwinter ""Servants of Sorcery"" CD | CD",Fimbulwinter,Servants of Sorcery,CD,
"Woodtemple ""The Call From the Pagan Woods"" CD | CD",Woodtemple,The Call From the Pagan Woods,CD,
"Spiritwood ""Cold Moon Blasphemies"" CD | CD",Spiritwood,Cold Moon Blasphemies,CD,
"Prediction ""The Unholy Flame"" MC | Cassette",Prediction,The Unholy Flame,Cassette,
"Akrotheism / Septuagint ""Sphinx: The Great Enigma Of Times"" LP (Limited to 100) | Vinyl",Akrotheism / Septuagint,Sphinx: The Great Enigma Of Times,Vinyl,
"Darkestrah ""Nomad"" LP | Vinyl",Darkestrah,Nomad,Vinyl,
"Aghast ""Hexerei im Zwielicht der Finsternis"" CD | CD",Aghast,Hexerei im Zwielicht der Finsternis,CD,
"Uttertomb ""Nebulas Of Self​-​Desecration"" LP | Vinyl",Uttertomb,Nebulas Of Self​-​Desecration,Vinyl,
"ABSU ""The Third Storm Of Cythraul - 2013 Alternate Stereo Mix"" LP | Vinyl",Absu,The Third Storm Of Cythraul - 2013 Alternate Stereo Mix,Vinyl,
"Assembly at Dusk ""Assembly at Dusk"" LP | Vinyl",Assembly at Dusk,Assembly at Dusk,Vinyl,
"Erupted Evil ""Teufel"" CD | CD",Erupted Evil,Teufel,CD,
Turia / Vilkacis Split LP | Vinyl,,,,
"Ayyur ""Balkarnin"" MC | Cassette",Ayyur,Balkarnin,Cassette,
"Gism ""M.A.N"" Greek LP | Vinyl",Gism,M.A.N,Vinyl,
"Hagazussa  ""Wintertraum"" LP | Vinyl",Hagazussa,Wintertraum,Vinyl,
Melting Rot “Blood Delusions” MC | Cassette,Melting Rot,Blood Delusions,Cassette,
"Aenaon / Virus of Koch ""Ultima Momentum/ Voro:Forma Mentis"" Split 7"" | Vinyl",Aenaon / Virus of Koch,Ultima Momentum/ Voro:Forma Mentis,Vinyl,
"Ceremonial Curse ""Flames Turned to Ashes"" LP | Vinyl",Ceremonial Curse,Flames Turned to Ashes,Vinyl,
"Sacred Crucifix ""Realms of the North Vol.1 (1987-1989)"" LP | Vinyl",Sacred Crucifix,Realms of the North Vol.1 (1987-1989),Vinyl,
"Sheidim ""Shrines of the Void"" CD | CD",Sheidim,Shrines of the Void,CD,
"Wolfthorn ""Towards Ipsissimus"" LP | Vinyl",Wolfthorn,Towards Ipsissimus,Vinyl,
"Rattus ""Stolen Life"" Digipak CD | CD",Rattus,Stolen Life,CD,
"Overdrive ""Reflexions + Bonus"" Digipak Double CD | CD",Overdrive,Reflexions + Bonus,CD,
"Repulsive ""The Flesh Domain / Thanatophobia"" MC | Cassette",Repulsive,The Flesh Domain / Thanatophobia,Cassette,
"Napalm Death ""Harmony Corruption"" LP | Vinyl",Napalm Death,Harmony Corruption,Vinyl,
"Fields of Mildew ""II"" LP | Vinyl",Fields of Mildew,II,Vinyl,
"Turbokrieg ""Ultracore"" Orange Vinyl LP | Vinyl",Turbokrieg,Ultracore,Vinyl,
"Waeltaja ""Heremite"" Digipak CD | CD",Waeltaja,Heremite,CD,
"Wish ""Monochrome"" LP | Vinyl",Wish,Monochrome,Vinyl,
"Antediluvian ""Logos"" LP | Vinyl",Antediluvian,Logos,Vinyl,
"Mons Veneris ""Sibilando com o Mestre Negro"" MC | Cassette",Mons Veneris,Sibilando com o Mestre Negro,Cassette,
"Voimaton ""Profane Vestige"" LP (Corner Bent) | Vinyl",Voimaton,Profane Vestige,Vinyl,
"Contaminated ""Celebratory Beheading"" MC | Cassette",Contaminated,Celebratory Beheading,Cassette,
"Excruciating Pain ""Thou Shall Choose"" MC | Cassette",Excruciating Pain,Thou Shall Choose,Cassette,
"Genocide Organ + Prurient ""Carte Blanche"" White Vinyl LP (NWN Exclusive) | Vinyl",Genocide Organ + Prurient,Carte Blanche,Vinyl,
"Ravnblod ""Noen Synder"" MC | Cassette",Ravnblod,Noen Synder,Cassette,
"Firstborn ""Born by Eclipse"" CD | CD",Firstborn,Born by Eclipse,CD,
"Sadotank ""Black Thrash Assault"" CD | CD",Sadotank,Black Thrash Assault,CD,
"Undercroft ""Twisted Souls"" LP | Vinyl",Undercroft,Twisted Souls,Vinyl,
"Glasnik Smrti ""Demo Br. I"" Demo | Cassette",Glasnik Smrti,Demo Br. I,Cassette,
"Wędrowcy Tułacze Zbiegi ""Futurista"" LP | Vinyl",Wędrowcy Tułacze Zbiegi,Futurista,Vinyl,
"Hegemoon / Wartodd ""W Majestacie Bluźnierstwa"" Split CD | CD",Hegemoon / Wartodd,W Majestacie Bluźnierstwa,CD,
"Vrkolak ""Carpathian Tyranny Returns"" LP | Vinyl",Vrkolak,Carpathian Tyranny Returns,Vinyl,
"Fasa ""Fallit Öde"" MC | Cassette",Fasa,Fallit Öde,Cassette,
"Sacrilegium ""Anima Lucifera"" Digipak CD | CD",Sacrilegium,Anima Lucifera,CD,
"Amon Acid ""Paradigm Shift"" CD | CD",Amon Acid,Paradigm Shift,CD,
"Koniec Pola ""Cy"" Digpak CD | CD",Koniec Pola,Cy,CD,
"Sever ""At Midnight, By Torch Light"" Digipak CD | CD",Sever,"At Midnight, By Torch Light",CD,
"Butakal​ /​ Deklaration​ /​ Kontempt ""Trisulan Pact: Nusanterror Extermination Campaign"" MC | Cassette",Butakal​ /​ Deklaration​ /​ Kontempt,Trisulan Pact: Nusanterror Extermination Campaign,Cassette,
"Ritual Death ""Ritual Death"" LP | Vinyl",Ritual Death,Ritual Death,Vinyl,
"El-Ahrairah ""El-Ahrairah"" LP | Vinyl",El-Ahrairah,El-Ahrairah,Vinyl,
"Sulfuric ""Into the Darkness"" CD | CD",Sulfuric,Into the Darkness,CD,
"Stars & Shadow ""Resignation of Light"" LP | Vinyl",Stars & Shadow,Resignation of Light,Vinyl,
"Deus Ignotus ""Hexapterygon"" Digibook CD | CD",Deus Ignotus,Hexapterygon,CD,
"Syphilitic Vaginas ""Complete Studio Collection"" CD | CD",Syphilitic Vaginas,Complete Studio Collection,CD,
"Chevallier Skrog ""Elemental Wrath"" MC | Cassette",Chevallier Skrog,Elemental Wrath,Cassette,
"Sadistic Force ""Pain, Sex, and Rapture"" 7"" | Vinyl",Sadistic Force,"Pain, Sex, and Rapture",Vinyl,
"Funeral Winds ""Sinister Creed"" LP | Vinyl",Funeral Winds,Sinister Creed,Vinyl,
"Gauze ""言いたかねえけど目糞鼻糞"" LP | Vinyl",Gauze,言いたかねえけど目糞鼻糞,Vinyl,
"Ritual Lair ""Mother of Misery and All Repugnance (Diabolo Intervale)"" CD | CD",Ritual Lair,Mother of Misery and All Repugnance (Diabolo Intervale),CD,
"Khafra ""Deja Vu"" MC | Cassette",Khafra,Deja Vu,Cassette,
"Terra Caput Mundi ""Lost in the Warp"" LP | Vinyl",Terra Caput Mundi,Lost in the Warp,Vinyl,
"Algaion ""Oimai Algeiou"" Digipak CD | CD",Algaion,Oimai Algeiou,CD,
"Death's Cold Wind ""Subyugador - In Goat We Trust"" CD | CD",Death's Cold Wind,Subyugador - In Goat We Trust,CD,
"Witchhelm ""Jötunn"" CD | CD",Witchhelm,Jötunn,CD,
"Falsa Luz ""Breu Eterno"" MC | Cassette",Falsa Luz,Breu Eterno,Cassette,
"Roxxi  ""Drive It To Ya Hard"" MC | Cassette",Roxxi,Drive It To Ya Hard,Cassette,
"Charnel Altar ""Abatement of the Sun"" LP | Vinyl",Charnel Altar,Abatement of the Sun,Vinyl,
"Respawn the Plague ""Gathering of the Unholy Ones"" 7"" | Vinyl",Respawn the Plague,Gathering of the Unholy Ones,Vinyl,
"Dwell Within ""Monkshood"" White Vinyl LP | Vinyl",Dwell Within,Monkshood,Vinyl,
"JoDöden ""Sittandes i Sjön Med Vatten över Huvudet"" CD | CD",JoDöden,Sittandes i Sjön Med Vatten över Huvudet,CD,
"Cefaris ""Profound Misery In The Radiance Of The Bloodmoon"" MC | Cassette",Cefaris,Profound Misery In The Radiance Of The Bloodmoon,Cassette,
"Mucous Scrotum ""Hall of the Slain"" CD | CD",Mucous Scrotum,Hall of the Slain,CD,
"Via Sinistra ""Silencioso Culto do Abismo"" LP | Vinyl",Via Sinistra,Silencioso Culto do Abismo,Vinyl,
"Compatriot ""Intrepid American Grit"" LP | Vinyl",Compatriot,Intrepid American Grit,Vinyl,
"Self-Inflicted Violence ""The Sanctimonious Hypocrites of..."" CD | CD",Self-Inflicted Violence,The Sanctimonious Hypocrites of...,CD,
"Sargeist / Serpent Noir ""Transcendental Black Magic"" Split LP | Vinyl",Sargeist / Serpent Noir,Transcendental Black Magic,Vinyl,
"The Offspring ""Demos 1986-1988"" LP | Vinyl",The Offspring,Demos 1986-1988,Vinyl,
"Malign ""Demo 1​/​95"" LP | Vinyl",Malign,Demo 1​/​95,Vinyl,
Torresian Call / Welldweller Split MC | Cassette,,,,
"Bathory ""Jubileum Volume III"" Double LP (Official Pressing) | Vinyl",Bathory,Jubileum Volume III,Vinyl,
"Prag 83 ""The Dance"" Digipak CD | CD",Prag 83,The Dance,CD,
"Mutarotik ""Mutarotik"" 7"" | Vinyl",Mutarotik,Mutarotik,Vinyl,
Headhunter D.C. “Death Kurwa! – Live in Warsaw 2013” CD | CD,Headhunter D.C.,Death Kurwa! – Live in Warsaw 2013,CD,
"Lunar Chalice ""Night Poetry"" Digipak CD | CD",Lunar Chalice,Night Poetry,CD,
"Nattsmyg ""Fodd Att Harska"" CD | CD",Nattsmyg,Fodd Att Harska,CD,
"Unholy Grave ""Live at Leeds"" LP | Vinyl",Unholy Grave,Live at Leeds,Vinyl,
"Helios Fundraiser - NWN ""Rok Painting #2"" TS | Cassette",Helios Fundraiser - NWN,Rok Painting #2,Cassette,
"Hyatari ""The Light Carriers"" CD | CD",Hyatari,The Light Carriers,CD,
"Piarevaracien - Nad Krajem Braslauskich Aziorau"" A5 Digipak CD (Belarusian folk BM) | CD",,,,
Pseudotsuga / Heroic Depletion Split MC | Cassette,,,,
"Cerebral Rot ""Excretion of Mortality"" LP | Vinyl",Cerebral Rot,Excretion of Mortality,Vinyl,
"Nachtmystium ""Live Decay Roadburn Rites 2012"" Digipak CD | CD",Nachtmystium,Live Decay Roadburn Rites 2012,CD,
"Hellfire Deathcult ""Al Nombre De La Muerte"" LP | Vinyl",Hellfire Deathcult,Al Nombre De La Muerte,Vinyl,
"Early Grave ""Early Grave"" CD | CD",Early Grave,Early Grave,CD,
"Valhalla ""Valhalla"" CD | CD",Valhalla,Valhalla,CD,
"Paara ""Yön Olevainen Puoli"" LP | Vinyl",Paara,Yön Olevainen Puoli,Vinyl,
"Christ Agony ""Darkside"" LP | Vinyl",Christ Agony,Darkside,Vinyl,
"Ceres ""Tyrant's Rise"" CD | CD",Ceres,Tyrant's Rise,CD,
"Faceless Burial ""Grotesque Miscreation"" MC | CD",Faceless Burial,Grotesque Miscreation,CD,
"Incantation ""Primordial Domination"" LP | Vinyl",Incantation,Primordial Domination,Vinyl,
"Kargvint ""Seelenwerk's Fortgang"" CD | CD",Kargvint,Seelenwerk's Fortgang,CD,
"Anubis ""A Halál Oldalán"" LP | Vinyl",Anubis,A Halál Oldalán,Vinyl,
"Neverlur / Sequestered Keep ""Under Nordsljosets Straalar / Quests in the North"" Split CD | CD",Neverlur / Sequestered Keep,Under Nordsljosets Straalar / Quests in the North,CD,
"Warmarch ""The Declaration"" LP | Vinyl",Warmarch,The Declaration,Vinyl,
"In Nomine ""Un Pie Sobre Sus Cabezas"" CD | CD",In Nomine,Un Pie Sobre Sus Cabezas,CD,
"Mycelium ""Mycoticism: Disseminating the Propagules"" MC | Cassette",Mycelium,Mycoticism: Disseminating the Propagules,Cassette,
"Serum Dreg ""Impure Blood"" LP | Vinyl",Serum Dreg,Impure Blood,Vinyl,
"Incestum ""Immaculatae Infantis Sanguinis Essentiae"" CD | CD",Incestum,Immaculatae Infantis Sanguinis Essentiae,CD,
Darvulia / Sektarism Split White Vinyl Test Press LP | Vinyl,,,,
"Ancient Necromancy ""Diabolical Forest Alchemy"" LP | Vinyl",Ancient Necromancy,Diabolical Forest Alchemy,Vinyl,
"Lord Belial ""Unholy Crusade"" Digipak CD | CD",Lord Belial,Unholy Crusade,CD,
"Kuilu ""Monumentti"" Digipak CD | CD",Kuilu,Monumentti,CD,
Nebran / Zmyrna Split MC | Cassette,,,,
"Lock Up / Misery Index ""Thus The Beast Decapitated / Siberian"" Split Orange Splatter Vinyl 7"" | Vinyl",Lock Up / Misery Index,Thus The Beast Decapitated / Siberian,Vinyl,
"Furnace Floor ""Furnace Floor"" MLP | Vinyl",Furnace Floor,Furnace Floor,Vinyl,
"Order of the Ebon Hand / Akrotheism Split 7"" | Vinyl",,,,
Helios Fundraiser - Factory Tour Plus | Cassette,,,,
"Inquisition ""Incense of Rest"" CD (The Oath Edition) | CD",Inquisition,Incense of Rest,CD,
"Erupted Evil ""Ghoul"" MC | Cassette",Erupted Evil,Ghoul,Cassette,
"Sacrilege ""Lost in the Beauty You Slay"" MC | Cassette",Sacrilege,Lost in the Beauty You Slay,Cassette,
"Pan.Thy.Monium ""Dawn Of Dreams"" LP | Vinyl",Pan.Thy.Monium,Dawn Of Dreams,Vinyl,
"Blood Stronghold ""Spectres of Bloodshed"" LP | Vinyl",Blood Stronghold,Spectres of Bloodshed,Vinyl,
"Cénotaphe ""Horizons"" MC | CD",Cénotaphe,Horizons,CD,
"Zahrim ""La Zagastenu"" 10"" | Vinyl",Zahrim,La Zagastenu,Vinyl,
"A.S.U.R.A. ""S/T"" 7"" | Vinyl",A.S.U.R.A.,S/T,Vinyl,
"Misfits ""Walk Among Us and the Spot Sessions"" LP | Vinyl",Misfits,Walk Among Us and the Spot Sessions,Vinyl,
"Asphyx ""Abomination Echoes"" 6 x MC Boxset | Cassette",Asphyx,Abomination Echoes,Cassette,
"Erebe ""Aeon"" Digipak CD | CD",Erebe,Aeon,CD,
"Varathron ""His Majesty at the Swamp"" MC | Cassette",Varathron,His Majesty at the Swamp,Cassette,
"Slurred Oath ""E're Long I Shall"" MC | Cassette",Slurred Oath,E're Long I Shall,Cassette,
"Desaster ""Bringing the Storm to Rotterdam"" LP | Vinyl",Desaster,Bringing the Storm to Rotterdam,Vinyl,
"Diabolical Messiah ""Demonic Weapons Against the Sacred"" CD | CD",Diabolical Messiah,Demonic Weapons Against the Sacred,CD,
"Voodus ""Serpent Seducer Saviour"" 10"" | Vinyl",Voodus,Serpent Seducer Saviour,Vinyl,
"Necropsia ""Live Satanized"" MC | Cassette",Necropsia,Live Satanized,Cassette,
"Wolfbastard ""Wolfbastard"" MC | Cassette",Wolfbastard,Wolfbastard,Cassette,
"Dead Conspiracy ""Dead Conspiracy"" CD | CD",Dead Conspiracy,Dead Conspiracy,CD,
"Master's Hammer ""The Ritual Murder"" Clear Vinyl LP | Vinyl",Master's Hammer,The Ritual Murder,Vinyl,
"Rope Sect ""Enstrangement"" CD | CD",Rope Sect,Enstrangement,CD,
"Atrocity ""To Be ... ... Or Not To Be"" MC | Cassette",Atrocity,To Be ... ... Or Not To Be,Cassette,
"Contaminated ""Celebratory Beheading"" CD | CD",Contaminated,Celebratory Beheading,CD,
"Mróz ""Charnel Ground"" MC | Cassette",Mróz,Charnel Ground,Cassette,
"Lifvsleda ""Manifest MMXIX"" Digipak CD | CD",Lifvsleda,Manifest MMXIX,CD,
"Subklinik ""Musik For Dekomposition"" CD | CD",Subklinik,Musik For Dekomposition,CD,
"Nightbringer ""Apocalypse Sun"" Double LP | Vinyl",Nightbringer,Apocalypse Sun,Vinyl,
"Pagan Altar ""The Story of Pagan Altar 1976 - 2007"" LP | Vinyl",Pagan Altar,The Story of Pagan Altar 1976 - 2007,Vinyl,
"1349 ""Slaves"" Black Vinyl 7"" | Vinyl",1349,Slaves,Vinyl,
"Evol ""Demos 1993-1994"" CD | CD",Evol,Demos 1993-1994,CD,
"Concilivm ""A Monument in Darkness"" LP | Vinyl",Concilivm,A Monument in Darkness,Vinyl,
"Germfask ""Camp no. 135"" MC | Cassette",Germfask,Camp no. 135,Cassette,
"Unblessed into Hatred ""Occult Sonic Warfare"" 10"" MLP | Vinyl",Unblessed into Hatred,Occult Sonic Warfare,Vinyl,
"Denevér ""Vámpír"" CD | CD",Denevér,Vámpír,CD,
"Thy Killing Hand ""Scarlet Ceremonies"" Demo | Cassette",Thy Killing Hand,Scarlet Ceremonies,Cassette,
"Estve ""Egyenes Labirintus"" LP | Vinyl",Estve,Egyenes Labirintus,Vinyl,
"Tormentor (Germany) ""End of the World Demo '84"" LP (Pre-Kreator) | Vinyl",Tormentor (Germany),End of the World Demo '84,Vinyl,
"Witchcraft / Aske ""Dead Christ Prayer"" Split White Vinyl LP | Vinyl",Witchcraft / Aske,Dead Christ Prayer,Vinyl,
"Over the Voids ""Hadal"" CD | CD",Over the Voids,Hadal,CD,
"Last Bomb ""Last Bomb / Retro Firing Collection"" LP | Vinyl",Last Bomb,Last Bomb / Retro Firing Collection,Vinyl,
"V/A Black Metal Terror with Malign / Ofermod / Triumphator / Watain 4 x Picture 7"" Boxset | Vinyl",,,,
"Galilea ""Obra Maestra"" Digipak CD | CD",Galilea,Obra Maestra,CD,
"Ynkleudherhenavogyon ""Arvor Mysteri"" LP | Vinyl",Ynkleudherhenavogyon,Arvor Mysteri,Vinyl,
"Revenge ""Scum Collapse Eradication"" LP | Vinyl",Revenge,Scum Collapse Eradication,Vinyl,
"Razor ""35 Years Thrash Insanity"" 10 x MC Box set | Cassette",Razor,35 Years Thrash Insanity,Cassette,
"Jeff Scheetz  ""Warp Speed"" MC | Cassette",Jeff Scheetz,Warp Speed,Cassette,
"Sadistik Exekution ""Fukk"" LP | Vinyl",Sadistik Exekution,Fukk,Vinyl,
"Subject ""Inevitable Inimitable Unexcelled"" CD | CD",Subject,Inevitable Inimitable Unexcelled,CD,
"Of Human Bondage ""The Goat Sessions Volume III"" CD | CD",Of Human Bondage,The Goat Sessions Volume III,CD,
"Beherit ""The Oath of Black Blood"" CD | CD",Beherit,The Oath of Black Blood,CD,
"Wasted Youth ""Reagan's In + Demos & Outtakes"" LP | Vinyl",Wasted Youth,Reagan's In + Demos & Outtakes,Vinyl,
"Infernal Conjuration ""Infernale Metallum Mortis"" CD | CD",Infernal Conjuration,Infernale Metallum Mortis,CD,
"Graveland ""The Celtic Winter"" Digipak CD | CD",Graveland,The Celtic Winter,CD,
Sāriġ / Zbitec Split MC | Cassette,,,,
"Azathoth's Dream ""Nocturnal Vampyric Bewitchment"" LP | Vinyl",Azathoth's Dream,Nocturnal Vampyric Bewitchment,Vinyl,
"Ripped to Shreds ""埋葬 (Mai Zang)"" CD | CD",Ripped to Shreds,埋葬 (Mai Zang),CD,
"Mgla ""Presence / Power and Will"" LP | Vinyl",Mgla,Presence / Power and Will,Vinyl,
"Temple of Abandonment  ""Chasm of the Horned Pantheon: Through Your Death, They Live"" Demo | Cassette",Temple of Abandonment,"Chasm of the Horned Pantheon: Through Your Death, They Live",Cassette,
"Mobs ""1983 Demo / Live"" LP | Vinyl",Mobs,1983 Demo / Live,Vinyl,
"Forbidden Temple ""Passage to Dark Eternity"" 7"" | Vinyl",Forbidden Temple,Passage to Dark Eternity,Vinyl,
"Cursed Excruciation ""Arcane Diabolism"" LP | Vinyl",Cursed Excruciation,Arcane Diabolism,Vinyl,
"Militia ""And The Gods Made War"" LP | Vinyl",Militia,And The Gods Made War,Vinyl,
"Fingernails ""Rotten Souls"" CD | CD",Fingernails,Rotten Souls,CD,
"Torture Rack ""Barbaric Persecution"" LP | Vinyl",Torture Rack,Barbaric Persecution,Vinyl,
"Azelisassath ""Total Desecration of Existence"" LP | Vinyl",Azelisassath,Total Desecration of Existence,Vinyl,
"Stiny Plamenu ""Záře zápalných šňůr"" CD | CD",Stiny Plamenu,Záře zápalných šňůr,CD,
"Serpentfyre ""Baptism of Shadows"" CD | CD",Serpentfyre,Baptism of Shadows,CD,
"Vile Haint ""Sacrificial Baptism in Murky Waters"" LP | Vinyl",Vile Haint,Sacrificial Baptism in Murky Waters,Vinyl,
"Grenouer ""The Odour O' Folly"" Demo | Cassette",Grenouer,The Odour O' Folly,Cassette,
"Sinistrous Diabolus ""Total Doom Desecration"" CD | CD",Sinistrous Diabolus,Total Doom Desecration,CD,
"AC/DC ""The Razor's Edge"" MC (Pegaz Edition) | Cassette",AC/DC,The Razor's Edge,Cassette,
"Hermóðr ""Hädanfärd"" CD | CD",Hermóðr,Hädanfärd,CD,
"Horgkomostropus ""Lúgubre Resurrección"" LP (Honduran Black Death 1995) | Vinyl",Horgkomostropus,Lúgubre Resurrección,Vinyl,
"Sabbat ""Sabbaticult"" LP | Vinyl",Sabbat,Sabbaticult,Vinyl,
"Insurgency ""Primitive Shrines"" Demo | Cassette",Insurgency,Primitive Shrines,Cassette,
"Nargaroth ""Jahreszeiten"" Clear Vinyl Double LP | Vinyl",Nargaroth,Jahreszeiten,Vinyl,
"Retsepti ""Anthology of Georgian Underground Tbilisi 1987-92"" Digipak CD | CD",Retsepti,Anthology of Georgian Underground Tbilisi 1987-92,CD,
"Shades Of Vrsaj'Kett ""Vengeful Spirit Black Metal"" LP | Vinyl",Shades Of Vrsaj'Kett,Vengeful Spirit Black Metal,Vinyl,
"Immortallity ""Born in a Casket"" Test Press LP | Vinyl",Immortallity,Born in a Casket,Vinyl,
"Slayer ""South Of Heaven"" Picture LP (2007 Pressing) | Vinyl",Slayer,South Of Heaven,Vinyl,
"Häxanu ""Snare of All Salvation"" LP | Vinyl",Häxanu,Snare of All Salvation,Vinyl,
"Varghkoghargasmal ""Varghkoghargasmal"" Black Vinyl 7"" | Vinyl",Varghkoghargasmal,Varghkoghargasmal,Vinyl,
"Spirit Ritual ""Spirit Ritual"" CD | CD",Spirit Ritual,Spirit Ritual,CD,
"Lord Belial ""The Black Curse"" Digipak CD | CD",Lord Belial,The Black Curse,CD,
"Beherit ""Bardo Exist"" LP + CD | Vinyl",Beherit,Bardo Exist,Vinyl,
"Fennoman ""Lauluja Pohjoisesta Identiteetistä"" CD | CD",Fennoman,Lauluja Pohjoisesta Identiteetistä,CD,
"Runemagick ""Resurrection in Blood"" LP | Vinyl",Runemagick,Resurrection in Blood,Vinyl,
"Kaos Sacramentum ""Scars Of Revelation"" CD (Ancient Records Press) | CD",Kaos Sacramentum,Scars Of Revelation,CD,
"Deathrite ""Delirium"" LP | Vinyl",Deathrite,Delirium,Vinyl,
"Midnight Odyssey / Igric / Aeon Winds ""Ardorem"" Digipak CD | CD",Midnight Odyssey / Igric / Aeon Winds,Ardorem,CD,
"Fearbringer ""Carne Tormentata"" Demo | Cassette",Fearbringer,Carne Tormentata,Cassette,
"Master's Hammer ""Jilemnický Okultista"" Black Vinyl LP | Vinyl",Master's Hammer,Jilemnický Okultista,Vinyl,
"Perdizione ""Descend Without Fortune"" Demo | Cassette",Perdizione,Descend Without Fortune,Cassette,
"Necrolatria ""Where Light Has No Domain"" LP | Vinyl",Necrolatria,Where Light Has No Domain,Vinyl,
"Falkenbach ""Ok Nefna Tysvar Ty"" LP | Vinyl",Falkenbach,Ok Nefna Tysvar Ty,Vinyl,
"Nupta Cadavera ""Nupta Cadavera"" Test Press Aqua Blue Vinyl 7"" | Vinyl",Nupta Cadavera,Nupta Cadavera,Vinyl,
"Black Murder ""Feasts"" LP | Vinyl",Black Murder,Feasts,Vinyl,
"Black Uniforms ""Faces of Death"" LP | Vinyl",Black Uniforms,Faces of Death,Vinyl,
"Zwartplaag ""Promo 2009"" Demo | Cassette",Zwartplaag,Promo 2009,Cassette,
"Erang ""Imagination Never Fails"" LP | Vinyl",Erang,Imagination Never Fails,Vinyl,
